MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandWidth;AbsError(write);RelError(write);ReadTime;AverageReadTime;ReadBandwidth;AbsError(read);RelError
flash;41943040;double;8;2;Clock;4,089055904;4,327469784;9,69227795768244;0,23841388;0,055093135689009;0,198520399;0,172280174;243,458309950395;0,026240225;0,152311344891026
;;;;;;;;;;;;;;;
SSD;46137344;double;8;1;Clock;0,233318323;0,222261673;207,581196421571;0,01105665;0,049746093650613;0,146673203;0,146751719;314,390484243663;7,85160000000007E-05;0,000535026100785
SSD;46137344;double;8;2;Clock;0,211205023;0,222261673;207,581196421571;0,01105665;0,049746093650613;0,146830236;0,146751719;314,390484243663;7,85170000000002E-05;0,000535032915015
;;;;;;;;;;;;;;;
flash;46137344;double;8;1;Clock;2,844879677;2,490225809;18,5273736354565;0,354653868;0,142418356888855;0,289802741;0,231956547;198,905116482873;0,057846194;0,249383752035247
flash;46137344;double;8;2;Clock;2,135571942;2,490225809;18,5273736354565;0,354653867;0,142418356487285;0,174110352;0,231956547;198,905116482873;0,057846195;0,249383756346399
;;;;;;;;;;;;;;;
SSD;50331648;double;8;1;Clock;0,232341417;0,241603136;208,323653547278;0,009261719;0,038334432049756;0,203741282;0,194122251;259,278097903367;0,009619031;0,04955140871512
SSD;50331648;double;8;2;Clock;0,250864856;0,241603136;208,323653547278;0,00926172;0,038334436188775;0,184503219;0,194122251;259,278097903367;0,009619032;0,049551413866512
;;;;;;;;;;;;;;;
flash;50331648;double;8;1;Clock;3,200293815;3,326548651;15,1302906647314;0,126254836;0,037953701943318;0,254727173;0,2180076;230,871070549834;0,036719573;0,1684325362969
flash;50331648;double;8;2;Clock;3,452803487;3,326548651;15,1302906647314;0,126254836;0,037953701943318;0,181288027;0,2180076;230,871070549834;0,036719573;0,1684325362969
;;;;;;;;;;;;;;;
SSD;54525952;double;8;1;Clock;0,311541608;0,345062844;158,017453771406;0,033521236;0,097145307247279;0,277352369;0,246437609;221,256618343509;0,03091476;0,125446599345963
SSD;54525952;double;8;2;Clock;0,378584079;0,345062844;158,017453771406;0,033521235;0,097145304349256;0,21552285;0,246437609;221,256618343509;0,030914759;0,12544659528814
;;;;;;;;;;;;;;;
flash;54525952;double;8;1;Clock;4,067301128;4,291576481;12,7053431859834;0,224275352999999;0,052259432866437;0,190342349;0,199220836;273,696030469423;0,008878487;0,044566056333586
flash;54525952;double;8;2;Clock;4,515851835;4,291576481;12,7053431859834;0,224275354;0,052259433099452;0,208099323;0,199220836;273,696030469423;0,008878487;0,044566056333586
;;;;;;;;;;;;;;;
SSD;58720256;double;8;1;Clock;0,394038155;0,360934653;162,689438412;0,033103502;0,091716053653623;0,203312378;0,193456513;303,532070796707;0,009855865;0,05094615243065
SSD;58720256;double;8;2;Clock;0,32783115;0,360934653;162,689438412;0,033103503;0,091716056424208;0,183600648;0,193456513;303,532070796707;0,009855865;0,05094615243065
;;;;;;;;;;;;;;;
flash;58720256;double;8;1;Clock;4,349114934;5,890619187;9,96843525882468;1,541504253;0,261687982886747;0,215688753;0,210661539;278,742177042578;0,005027214;0,02386393844773
flash;58720256;double;8;2;Clock;7,432123439;5,890619187;9,96843525882468;1,541504252;0,261687982716985;0,205634325;0,210661539;278,742177042578;0,005027214;0,02386393844773
;;;;;;;;;;;;;;;
SSD;62914560;double;8;1;Clock;0,328775651;0,298235588;210,955910466326;0,030540063;0,102402477198664;0,197440842;0,210504032;298,875795405192;0,01306319;0,062056721079813
SSD;62914560;double;8;2;Clock;0,267695524;0,298235588;210,955910466326;0,030540064;0,102402480551717;0,223567222;0,210504032;298,875795405192;0,01306319;0,062056721079813
;;;;;;;;;;;;;;;
flash;62914560;double;8;1;Clock;4,77235925;3,84245687;16,3735240572785;0,92990238;0,242007239498306;0,222272348;0,238327553;263,983577257641;0,016055205;0,067366130344149
flash;62914560;double;8;2;Clock;2,912554489;3,84245687;16,3735240572785;0,929902381;0,242007239758556;0,254382758;0,238327553;263,983577257641;0,016055205;0,067366130344149
;;;;;;;;;;;;;;;
SSD;67108864;double;8;1;Clock;0,319441792;0,344523291;194,787597103268;0,025081499;0,072800590425104;0,233814567;0,252342631;265,943426737118;0,018528064;0,073424232467482
SSD;67108864;double;8;2;Clock;0,369604791;0,344523291;194,787597103268;0,0250815;0,072800593327666;0,270870695;0,252342631;265,943426737118;0,018528064;0,073424232467482
;;;;;;;;;;;;;;;
flash;67108864;double;8;1;Clock;3,64897582;3,582963385;18,729988779944;0,066012435;0,018423977000814;0,249384875;0,238613931;281,244534712435;0,010770944;0,045139627660717
flash;67108864;double;8;2;Clock;3,516950949;3,582963385;18,729988779944;0,066012436;0,018423977279913;0,227842987;0,238613931;281,244534712435;0,010770944;0,045139627660717
;;;;;;;;;;;;;;;
SSD;71303168;double;8;1;Clock;0,341242078;0,343429483;207,620986343796;0,002187405;0,006369298817598;0,263398759;0,255710132;278,843733888495;0,007688627;0,030067744832262
SSD;71303168;double;8;2;Clock;0,345616888;0,343429483;207,620986343796;0,002187405;0,006369298817597;0,248021505;0,255710132;278,843733888495;0,007688627;0,030067744832262
;;;;;;;;;;;;;;;
flash;71303168;double;8;1;Clock;5,568595661;4,26983079;16,6992959456363;1,298764871;0,304172444969417;0,24041574;0,232579516;306,575442353229;0,007836224;0,033692666210553
